Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Item
"0x98003b1662e7bb3f075a5821f90f22796352802674ca35ef9bf7aeb958d51de9","Success","Airdrop","137164915","2025-06-14 19:16:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x15E6C76C18791ccBFD25F7FE8EEeB88b1044982B","fdka","1b","#1"
"0x98003b1662e7bb3f075a5821f90f22796352802674ca35ef9bf7aeb958d51de9","Success","Airdrop","137164915","2025-06-14 19:16:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xF06EA7F0780bCFbDB235bB3bddfebC9f97b5e492","fadaka","1b","#0"
